SAIL published papers  - web site,,,,,,,lien vers le site web officiel de la publication( pas de lien vers les pdf directement )OU arxive,,,
Author,SAIL co-author,Author notification,Conference / Journal,Status,paper Title,Authors,link 1,link 2,Abstract,THEME
Reza,,,Neurips 2024,Accepted,Iterative Methods via Locally Evolving Set Process,"Baojian Zhou, Yifan Sun, Xingzhi Guo, Deqing Yang, Yanghua Xiao, Reza Babanezhad",https://papers.nips.cc/paper_files/paper/2024/hash/fffe5a7804c40465ef2432386850c2c7-Abstract-Conference.html,,"Given the damping factor α and precision tolerance ϵ, Andersen et al. [2] introduced Approximate Personalized PageRank (APPR), the de facto local method for approximating the PPR vector, with runtime bounded by Θ(1/(αϵ)) independent of the graph size. Recently, Fountoulakis & Yang [12] asked whether faster
local algorithms could be developed using O˜(1/(
√ αϵ)) operations. By noticing that APPR is a local variant of Gauss-Seidel, this paper explores the question of whether standard iterative solvers can be effectively localized. We propose to use the locally evolving set process, a novel framework to characterize the al gorithm locality, and demonstrate that many standard solvers can be effectively localized. Let vol(St) and γt be the running average of volume and the residual ratio of active nodes St during the process. We show vol(St)/γt ≤ 1/ϵ and prove
APPR admits a new runtime bound O˜(vol(St)/(αγt )) mirroring the actual performance. Furthermore, when the geometric mean of residual reduction is Θ(√ α), then there exists c ∈ (0, 2) such that the local Chebyshev method has runtime
O˜(vol(St)/( √ α(2 − c))) without the monotonicity assumption. Numerical results confirm the efficiency of this novel framework and show up to a hundredfold speedup over corresponding standard solvers on real-world graphs.",
Aristide,,,Neurips 2024,Accepted,Bias in Motion: Theoretical Insights into the Dynamics of Bias and Robustness in SGD Training,"Anchit Jain, Rozhin Nobahari, Aristide Baratin, Stefano Sarao Mannelli",https://papers.nips.cc/paper_files/paper/2024/hash/2ba538ff6a168e937d07e360045c0d6b-Abstract-Conference.html,,"Machine learning systems often acquire biases by leveraging undesired features in the data, impacting accuracy variably across different sub-populations of the data. However, our current understanding of bias formation mostly focuses on the initial and final stages of learning, leaving a gap in knowledge regarding the transient dynamics. To address this gap, this paper explores the evolution of bias in a teacher-student setup that models different data sub-populations with a Gaussian-mixture model. We provide an analytical description of the stochastic gradient descent dynamics of a linear classifier in this setup, which we prove to be exact in high dimension. Notably, our analysis identifies different properties of the sub-populations that drive bias at different timescales and hence shows a shifting preference of our classifier during training. By applying our general solution to fairness and robustness, we delineate how and when heterogeneous data and spurious features can generate and amplify bias. We empirically validate our results in more complex scenarios by training deeper networks on synthetic and real data, i.e. using CIFAR10, MNIST, and CelebA datasets.",
,,,,,,,,,,
Yan,,,ICML 2024,Accepted,Improved Generalization of Weight Space Networks via Augmentations,"Aviv Shamsian, Aviv Navon, David W. Zhang, Yan Zhang, Ethan Fetaya, Gal Chechik, Haggai Maron",https://proceedings.mlr.press/v235/shamsian24a.html,,"Learning in deep weight spaces (DWS), where neural networks process the weights of other neural networks, is an emerging research direction, with applications to 2D and 3D neural fields (INRs, NeRFs), as well as making inferences about other types of neural networks. Unfortunately, weight space models tend to suffer from substantial overfitting. We empirically analyze the reasons for this overfitting and find that a key reason is the lack of diversity in DWS datasets. While a given object can be represented by many different weight configurations, typical INR training sets fail to capture variability across INRs that represent the same object. To address this, we explore strategies for data augmentation in weight spaces and propose a MixUp method adapted for weight spaces. We demonstrate the effectiveness of these methods in two setups. In classification, they improve performance similarly to having up to 10 times more data. In self-supervised contrastive learning, they yield substantial 5-10% gains in downstream classification.",
Yan,Aristide,,ICML 2024,Accepted,Unsupervised Concept Discovery Mitigates Spurious Correlations,"Md Rifat Arefin, Yan Zhang, Aristide Baratin, Francesco Locatello, Irina Rish, Dianbo Liu, Kenji Kawaguchi",https://proceedings.mlr.press/v235/arefin24a.html,,"Models susceptible to spurious correlations in their training data often produce brittle predictions and introduce unintended biases. Addressing this challenge typically involves methods relying on prior knowledge and group annotation to remove spurious correlations, which may not be readily available in many applications. In this paper, we establish a novel connection between unsupervised object-centric learning and mitigation of spurious correlations. Instead of inferring subgroups with varying correlations with the labels, our approach focuses on discovering concepts: discrete ideas that are shared across input samples. Leveraging existing object-centric representation learning, we propose a method that effectively mitigates spurious correlations without requiring human labeling of subgroups. Evaluation on diverse benchmark datasets for subpopulation shifts, without relying on ground-truth or human-annotated groups, demonstrates improvements of 1–2% on the challenging ImageNet-9 background challenge and overall competitive performance in the absence of human-annotated groups.",
Seb,,,ICML 2024,Accepted,A Sparsity Principle for Partially Observable Causal Representation,"Danru Xu, Dingling Yao, Sebastien Lachapelle, Perouz Taslakian, Julius von Kügelgen, Francesco Locatello, Sara Magliacane",https://proceedings.mlr.press/v235/xu24ac.html,,"Causal representation learning aims at identifying high-level causal variables from perceptual data. Most methods assume that all latent causal variables are captured in the high-dimensional observations. We instead consider a partially observed setting, in which each measurement only provides information about a subset of the underlying causal state. Prior work has studied this setting with multiple domains or views, each depending on a fixed subset of latents. Here, we focus on learning from unpaired observations from a dataset with an instance-dependent partial observability pattern. Our main contribution is to establish two identifiability results for this setting: one for linear mixing functions without parametric assumptions on the underlying causal model, and one for piecewise linear mixing functions with Gaussian latent causal variables. Based on these insights, we propose two methods for estimating the underlying causal variables by enforcing sparsity in the inferred representation. Experiments on different simulated datasets and established benchmarks highlight the effectiveness of our approach in recovering the ground-truth latents.",
Aristide,,,ICML 2024,Accepted,"Lookbehind-Sam: k steps back, 1 step forward","Goncalo Mordido, Pranshu Malviya, Aristide Baratin, Sarath Chandar",https://proceedings.mlr.press/v235/mordido24a.html,,"Sharpness-aware minimization (SAM) methods have gained increasing popularity by formulating the problem of minimizing both loss value and loss sharpness as a minimax objective. In this work, we increase the efficiency of the maximization and minimization parts of SAM's objective to achieve a better loss-sharpness trade-off. By taking inspiration from the Lookahead optimizer, which uses multiple descent steps ahead, we propose Lookbehind, which performs multiple ascent steps behind to enhance the maximization step of SAM and find a worst-case perturbation with higher loss. Then, to mitigate the variance in the descent step arising from the gathered gradients across the multiple ascent steps, we employ linear interpolation to refine the minimization step. Lookbehind leads to a myriad of benefits across a variety of tasks. Particularly, we show increased generalization performance, greater robustness against noisy weights, as well as improved learning and less catastrophic forgetting in lifelong learning settings.",
Marwa,,,ICML 2024,Accepted,LayerMerge: Neural Network Depth Compression through Layer Pruning and Merging,"Jinuk Kim, Marwa El Halabi, Mingi Ji, Hyun Oh Song",https://proceedings.mlr.press/v235/kim24c.html,,"Recent works show that reducing the number of layers in a convolutional neural network can enhance efficiency while maintaining the performance of the network. Existing depth compression methods remove redundant non-linear activation functions and merge the consecutive convolution layers into a single layer. However, these methods suffer from a critical drawback; the kernel size of the merged layers becomes larger, significantly undermining the latency reduction gained from reducing the depth of the network. We show that this problem can be addressed by jointly pruning convolution layers and activation functions. To this end, we propose \textit{LayerMerge}, a novel depth compression method that selects which activation layers and convolution layers to remove, to achieve a desired inference speed-up while minimizing performance loss. Since the corresponding selection problem involves an exponential search space, we formulate a novel surrogate optimization problem and efficiently solve it via dynamic programming. Empirical results demonstrate that our method consistently outperforms existing depth compression and layer pruning methods on various network architectures, both on image classification and generation tasks.",
,,,,,,,,,,
Alexia,"Yan, Simon",Published May 4th 2024,(TMLR),Accepted,PopulAtion Parameter Averaging (PAPA),"Alexia Jolicoeur-Martineau, Emy Gervais, Kilian FATRAS, Yan Zhang, Simon Lacoste-Julien",https://openreview.net/forum?id=cPDVjsOytS,,"Ensemble methods combine the predictions of multiple models to improve performance, but they require significantly higher computation costs at inference time. To avoid these costs, multiple neural networks can be combined into one by averaging their weights. However, this usually performs significantly worse than ensembling. Weight averaging is only beneficial when different enough to benefit from combining them, but similar enough to average well. Based on this idea, we propose PopulAtion Parameter Averaging (PAPA): a method that combines the generality of ensembling with the efficiency of weight averaging. PAPA leverages a population of diverse models (trained on different data orders, augmentations, and regularizations) while slowly pushing the weights of the networks toward the population average of the weights. We also propose PAPA variants (PAPA-all, and PAPA-2) that average weights rarely rather than continuously; all methods increase generalization, but PAPA tends to perform best. PAPA reduces the performance gap between averaging and ensembling, increasing the average accuracy of a population of models by up to 0.8% on CIFAR-10, 1.9% on CIFAR-100, and 1.6% on ImageNet when compared to training independent (non-averaged) models.",
,,,,,,,,,,
Alexia,,,AISTATS 2024,Accepted,Generating and Imputing Tabular Data via Diffusion and Flow-based Gradient-Boosted Trees,"Alexia Jolicoeur-Martineau, Kilian Fatras, Tal Kachman",https://arxiv.org/abs/2309.09968,https://proceedings.mlr.press/v238/jolicoeur-martineau24a.html,"Tabular data is hard to acquire and is subject to missing values. This paper proposes a novel approach to generate and impute mixed-type (continuous and categorical) tabular data using score-based diffusion and conditional flow matching. Contrary to previous work that relies on neural networks to learn the score function or the vector field, we instead rely on XGBoost, a popular Gradient-Boosted Tree (GBT) method. We empirically show on 27 different datasets that our approach i) generates highly realistic synthetic data when the training dataset is either clean or tainted by missing data and ii) generates diverse plausible data imputations. Furthermore, our method outperforms deep-learning generation methods on data generation and is competitive on data imputation. Finally, it can be trained in parallel using CPUs without the need for a GPU. To make it easily accessible, we release our code through a Python library and an R package.",
Marwa,,,AISTATS 2024,Accepted,Fairness in Submodular Maximization over a Matroid Constraint,"Marwa El Halabi, Jakub Tarnawski, Ashkan Norouzi-Fard, Thuy-Duong Vuong",https://arxiv.org/abs/2305.15118,https://proceedings.mlr.press/v238/el-halabi24a.html,"Submodular maximization over a matroid constraint is a fundamental problem with various applications in machine learning. Some of these applications involve decision making over datapoints with sensitive attributes such as gender or race. In such settings, it is crucial to guarantee that the selected solution is fairly distributed with respect to this attribute.
Recently, fairness has been investigated in submodular maximization under a cardinality constraint in both the streaming and offline setting, but the more general problem with matroid constraint has only been considered in the streaming setting and only for monotone objectives. This work fills this gap. We propose various algorithms and impossibility results offering different trade-offs between quality, fairness, and generality.",
Damien,,,AISTATS 2024,Accepted,Adaptive Quasi-Newton and Anderson Acceleration Framework with Explicit Global (Accelerated) Convergence Rates,Damien Scieur,https://arxiv.org/abs/2305.19179,https://proceedings.mlr.press/v238/scieur24a.html,"Despite the impressive numerical performance of quasi-Newton and Anderson/nonlinear acceleration methods, their global convergence rates have remained elusive for over 50 years. This paper addresses this long-standing question by introducing a framework that derives novel, adaptive quasi-Newton and nonlinear/Anderson acceleration schemes. Under mild assumptions, the proposed iterative methods exhibit explicit, non-asymptotic convergence rates that blend those of gradient descent and Cubic Regularized Newton's Method. The proposed approach also includes an accelerated version for convex functions. Notably, these rates are achieved adaptively, without prior knowledge of the function's smoothness parameter. The framework presented in this paper is generic, and algorithms such as Newton's method with random subspaces, finite differences, or lazy Hessian can be seen as special cases of this paper's algorithm. Numerical experiments demonstrate the efficiency of the proposed framework, even compared to the l-BFGS algorithm with Wolfe line-search.",
Boris,Yan,,ICLR 2024,oral,Graph Neural Networks for Learning Equivariant Representations of Neural Networks,"Miltiadis Kofinas, Boris Knyazev, Yan Zhang, Yunlu Chen, Gertjan J. Burghouts, Efstratios Gavves, Cees G. M. Snoek, David W. Zhang",https://openreview.net/forum?id=oO6FsMyDBt,https://openreview.net/forum?id=oO6FsMyDBt,"Neural networks that process the parameters of other neural networks find applications in diverse domains, including processing implicit neural representations, domain adaptation of pretrained networks, learning to optimize, and predicting generalization errors. However, existing approaches either overlook the inherent permutation symmetry in the weight space or rely on intricate weight-sharing patterns to achieve equivariance, while being unaware of the neural network architecture. In this work, we propose representing neural networks as computational graphs, which allows us to harness the capabilities of powerful graph neural networks and transformers to preserve permutation symmetry. Consequently, our approach enables a single model to accommodate neural computational graphs with diverse architectures. We showcase the effectiveness of our method on a wide range of tasks and comfortably outperform recent state-of-the-art methods.",
Aristide,,,ICLR 2024,poster,How connectivity structure shapes rich and lazy learning in neural circuits,"Yuhan Helena Liu, Aristide Baratin, Jonathan Cornford, Stefan Mihalas, Eric Todd SheaBrown, Guillaume Lajoie",https://arxiv.org/abs/2310.08513,https://openreview.net/forum?id=slSmYGc8ee,"In theoretical neuroscience, recent work leverages deep learning tools to explore how some network attributes critically influence its learning dynamics. Notably, initial weight distributions with small (resp. large) variance may yield a rich (resp. lazy) regime, where significant (resp. minor) changes to network states and representation are observed over the course of learning. However, in biology, neural circuit connectivity generally has a low-rank structure and therefore differs markedly from the random initializations generally used for artificial networks. As such, here we investigate how the structure of the initial weights --- in particular their effective rank --- influences the network learning regime. Through both empirical and theoretical analyses, we discover that high-rank initializations typically yield smaller network changes indicative of lazier learning, a finding we also confirm with experimentally-driven initial connectivity in recurrent neural networks. Conversely, low-rank initialization biases learning towards richer learning. Importantly, however, as an exception to this rule, we find lazy learning can still occur with a low-rank initialization that aligns with task and data statistics. Our research highlights the pivotal role of initial weight structures in shaping learning regimes, with implications for metabolic costs of plasticity and risks of catastrophic forgetting.",
Yan,,,ICLR 2024,poster,Object centric architectures enable efficient causal representation learning,"Amin Mansouri, Jason Hartford, Yan Zhang, Yoshua Bengio",https://arxiv.org/abs/2310.19054,https://openreview.net/forum?id=r9FsiXZxZt,"There has been significant recent progress in causal representation learning that has showed a variety of settings in which we can disentangle latent variables with identifiability guarantees (up to some reasonable equivalence class). Common to all of these approaches is the assumption that (1) the latent variables are represented as -dimensional vectors, and (2) that the observations are the output of some injective generative function of these latent variables. While these assumptions appear benign we show that when the observations are of multiple objects, the generative function is no longer injective, and disentanglement fails in practice. We can address this failure by combining recent developments in object-centric learning and causal representation learning. By modifying the Slot Attention architecture Locatello et al. [2020], we develop an object-centric architecture that leverages weak supervision from sparse perturbations to disentangle each object's properties. We argue that this approach is more data-efficient in the sense that it requires significantly fewer perturbations than a comparable approach that encodes to a Euclidean space and we show that this approach successfully disentangles the properties of a set of objects in a series of simple image-based disentanglement experiments.",
Seb,,,ICLR 2024,spotlight,Multi-View Causal Representation Learning with Partial Observability,"Dingling Yao,  Danru Xu, Sebastien Lachapelle, Sara Magliacane, Perouz Taslakian, Georg Martius, Julius von Kügelgen, Francesco Locatello",https://arxiv.org/abs/2311.04056,https://openreview.net/forum?id=OGtnhKQJms,"We present a unified framework for studying the identifiability of representations learned from simultaneously observed views, such as different data modalities. We allow a partially observed setting in which each view constitutes a nonlinear mixture of a subset of underlying latent variables, which can be causally related. We prove that the information shared across all subsets of any number of views can be learned up to a smooth bijection using contrastive learning and a single encoder per view. We also provide graphical criteria indicating which latent variables can be identified through a simple set of rules, which we refer to as identifiability algebra. Our general framework and theoretical results unify and extend several previous work on multi-view nonlinear ICA, disentanglement, and causal representation learning. We experimentally validate our claims on numerical, image, and multi-modal data sets. Further, we demonstrate that the performance of prior methods is recovered in different special cases of our setup. Overall, we find that access to multiple partial views offers unique opportunities for identifiable representation learning, enabling the discovery of latent structures from purely observational data.",
,,,,,,,,,,
Reza,,,Neurips 2023,Accepted,Decision-Aware Actor-Critic with Function Approximation and Theoretical Guarantees,"Sharan Vaswani, Amirreza Kazemi, Reza Babanezhad Harikandeh, Nicolas Le Roux",https://papers.nips.cc/paper_files/paper/2023/hash/d18d208fa9c333483e5724ade7beff0f-Abstract-Conference.html,https://arxiv.org/abs/2305.15249,"Actor-critic (AC) methods are widely used in reinforcement learning (RL), and benefit from the flexibility of using any policy gradient method as the actor and value-based method as the critic. The critic is usually trained by minimizing the TD error, an objective potentially decorrelated with the true goal of achieving a high 

reward with the actor. We address this mismatch by designing a joint objective for training the actor and critic in a decision-aware fashion. We use the proposed objective to design a generic, AC algorithm that can easily handle any function approximation. Under certain conditions, we prove that the resulting algorithm guarantees monotonic policy improvement, regardless of the choice of policy and critic parameterization. Instantiating the generic algorithm results in an actor that involves maximizing a sequence of surrogate functions (similar to TRPO, PPO), and a critic that involves minimizing a closely connected objective. Using simple bandit examples, we provably establish the benefit of the proposed critic objective over the standard squared error. Finally, we empirically demonstrate the benefit of our decision-aware actor-critic framework on simple RL problems.",
Seb,Simon,,Neurips 2023,Accepted - Oral,Additive Decoders for Latent Variables Identification and Cartesian-Product Extrapolation,"Sébastien Lachapelle, Divyat Mahajan, Ioannis Mitliagkas, Simon Lacoste-Julien",https://papers.nips.cc/paper_files/paper/2023/hash/4ef594af0d9a519db8fb292452c461fa-Abstract-Conference.html,https://arxiv.org/abs/2307.02598,"We tackle the problems of latent variables identification and ""out-of-support"" image generation in representation learning. We show that both are possible for a class of decoders that we call additive, which are reminiscent of decoders used for object-centric representation learning (OCRL) and well suited for images that can be decomposed as a sum of object-specific images. We provide conditions under which exactly solving the reconstruction problem using an additive decoder is guaranteed to identify the blocks of latent variables up to permutation and block-wise invertible transformations. This guarantee relies only on very weak assumptions about the distribution of the latent factors, which might present statistical dependencies and have an almost arbitrarily shaped support. Our result provides a new setting where nonlinear independent component analysis (ICA) is possible and adds to our theoretical understanding of OCRL methods. We also show theoretically that additive decoders can generate novel images by recombining observed factors of variations in novel ways, an ability we refer to as Cartesian-product extrapolation. We show empirically that additivity is crucial for both identifiability and extrapolation on simulated data.",
,,,,,,,,,,
Boris,Simon,,ICML 2023,Accepted,Can We Scale Transformers to Predict Parameters of Diverse ImageNet Models?,"Boris Knyazev, Doha Hwang, Simon Lacoste-Julien",https://proceedings.mlr.press/v202/knyazev23a.html,https://openreview.net/forum?id=7UXf8dAz5T,"Pretraining a neural network on a large dataset is becoming a cornerstone in machine learning that is within the reach of only a few communities with large-resources. We aim at an ambitious goal of democratizing pretraining. Towards that goal, we train and release a single neural network that can predict high quality ImageNet parameters of other neural networks. By using predicted parameters for initialization we are able to boost training of diverse ImageNet models available in PyTorch. When transferred to other datasets, models initialized with predicted parameters also converge faster and reach competitive final performance.",
Marwa,,,ICML 2023,Accepted,Difference of submodular minimization via DC programming,"Marwa El Halabi, George Orfanides, Tim Hoheisel",https://proceedings.mlr.press/v202/el-halabi23b.html,https://openreview.net/forum?id=e1lKKjkNMj&referrer=%5bthe%20profile%20of%20Marwa%20El%20Halabi%5d(/profile?id=~Marwa_El_Halabi2),"Minimizing the difference of two submodular (DS) functions is a problem that naturally occurs in various machine learning problems. Although it is well known that a DS problem can be equivalently formulated as the minimization of the difference of two convex (DC) functions, existing algorithms do not fully exploit this connection.  A classical algorithm for DC problems is called the DC algorithm (DCA). We introduce variants of DCA and its complete form (CDCA) that we apply to the DC program corresponding to DS minimization. 

We extend existing convergence properties of DCA, and connect them to convergence properties on the DS problem. Our results on DCA match the theoretical guarantees satisfied by existing DS algorithms, while providing a more complete characterization of convergence properties. In the case of CDCA, we obtain a stronger local minimality guarantee. Our numerical results show that our proposed algorithms outperform existing baselines on two applications: speech corpus selection and feature selection.  ",
Marwa,,,ICML 2023,Accepted,Fairness in Streaming Submodular Maximization over a Matroid Constraint,"Marwa El Halabi*, Ashkan Norouzi-Fard*, Jakab Tardos*, Jakub Tarnawski*, Federico Fusco*",https://proceedings.mlr.press/v202/el-halabi23a.html,https://openreview.net/forum?id=KrsaROSs8b&referrer=%5bthe%20profile%20of%20Marwa%20El%20Halabi%5d(/profile?id=~Marwa_El_Halabi2),"Streaming submodular maximization is a natural model for the task of selecting a representative subset from a large-scale dataset. If datapoints have sensitive attributes such as gender or race, it becomes important to enforce fairness to avoid bias and discrimination. This has spurred significant interest in developing fair machine learning algorithms; recently, such algorithms have been developed for monotone submodular maximization under a cardinality constraint. In this paper, we study the natural generalization of this problem to a matroid constraint. We give streaming algorithms as well as impossibility results that provide trade-offs between efficiency, quality and fairness. We validate our findings empirically on a range of well-known real-world applications: exemplar-based clustering, movie recommendation, and maximum coverage in social networks.",
Yan,Simon,,ICML 2023,Accepted,Unlocking Slot Attention by Changing Optimal Transport Costs,"Yan Zhang*, David W Zhang*, Simon Lacoste-Julien, Gertjan J Burghouts, Cees GM Snoek",https://proceedings.mlr.press/v202/zhang23ba.html,https://openreview.net/forum?id=FMomWFNh5d,"Slot attention is a powerful method for object-centric modeling in images and videos. However, its set-equivariance limits its ability to handle videos with a dynamic number of objects because it cannot break ties. To overcome this limitation, we first establish a connection between slot attention and optimal transport. Based on this new perspective we propose MESH (Minimize Entropy of Sinkhorn): a cross-attention module that combines the tiebreaking properties of unregularized optimal transport with the speed of regularized optimal transport. We evaluate slot attention using MESH on multiple object-centric learning benchmarks and find significant improvements over slot attention in every setting.",
Yan,,,ICML 2023,Accepted,Equivariance with Learned Canonicalization Functions,"Sékou-Oumar Kaba*, Arnab Kumar Mondal*, Yan Zhang, Yoshua Bengio, Siamak Ravanbakhsh",https://proceedings.mlr.press/v202/kaba23a.html,https://openreview.net/forum?id=Jng8ejqTZi,"Symmetry-based neural networks often constrain the architecture in order to achieve invariance or equivariance to a group of transformations. In this paper, we propose an alternative that avoids this architectural constraint by learning to produce a canonical representation of the data. These canonicalization functions can readily be plugged into non-equivariant backbone architectures. We offer explicit ways to implement them for some groups of interest. We show that this approach enjoys universality while providing interpretable insights. Our main hypothesis, supported by our empirical results, is that learning a shallow neural network to perform canonicalization is better than using predefined heuristics. Our results show that learning the canonicalization function is competitive with existing techniques for learning equivariant functions across many tasks, including image classification, n-body dynamics prediction, point cloud classification and part segmentation, while being consistently faster across the board.",
Aristide,"JiHye, Yan Zhang, Simon Lacoste-Julien",,ICML 2023,Accepted,CrossSplit: Mitigating Label Noise Memorization through Data Splitting,"Jihye Kim, Aristide Baratin, Yan Zhang, Simon Lacoste-Julien",https://proceedings.mlr.press/v202/kim23a.html,https://openreview.net/forum?id=yeF3FMIIpm,"We approach the problem of improving robustness of deep learning algorithms in the presence of label noise. Building upon existing label correction and co-teaching methods, we propose a novel training procedure to mitigate the memorization of noisy labels, called CrossSplit, which uses a pair of neural networks trained on two disjoint parts of the labelled dataset. CrossSplit combines two main ingredients: (i) Cross-split label correction. The idea is that, since the model trained on one part of the data cannot memorize example-label pairs from the other part, the training labels presented to each network can be smoothly adjusted by using the predictions of its peer network; (ii) Cross-split semi-supervised training. A network trained on one part of the data also uses the unlabeled inputs of the other part. Extensive experiments on CIFAR-10, CIFAR-100, Tiny-ImageNet and mini-WebVision datasets demonstrate that our method can outperform the current state-of-the-art in a wide range of noise ratios.",
Reza,,,ICML 2023,Accepted,Fast Online Node Labelling with Local and Global Consistency,"Baojian Zhou, Yifan Sun, Reza Babanezhad",https://proceedings.mlr.press/v202/zhou23k.html,https://openreview.net/forum?id=p6T3omuNZK,"In this paper, we study online node classification problem under transductive learning setting where the underlying graph could be static or evolving. The main drawbacks of current methods are either making inverse of kernel matrix of graphs $\mathcal{O}(n^3)$ and $\mathcal{O}(n^2)$ run time and space complexity, respectively or sampling large volume of random spanning trees, which makes current methods difficult to scale large graphs. Based on the online relaxation technique, we propose a fast online node labelling method, namely \textsc{FastONL} to approximate the kernel matrix by using local forward push. The key technical component is to obtain a better local time complexity bounds of approximating Ranking vector and per-prediction cost is $\mathcal{O}(\vol{(S)}\log 1/\epsilon)$ which independents on graph size without matrix inverse compared with previous methods and with linear space complexity $\mathcal{O}(n k)$ where $k$ is the label size. Furthermore, when the underlying graph and true sequence, we prove that \textsc{FastONL} enjoys regret bound $\mathcal{O}(\sqrt{n}/ \alpha)$. Our experiments show that \textsc{FastONL} enjoys a better tradeoff of local and global consistency.",
Reza,,,ICML 2023,Accepted,Target-based Surrogates for Stochastic Optimization,"J. Wilder Lavington, Sharan Vaswani, Reza Babanezhad, Mark Schmidt, Nicolas Le Roux",https://proceedings.mlr.press/v202/lavington23a.html,https://openreview.net/forum?id=QExVqoGknN,"We consider minimizing functions for which it is computationally expensive to query the (stochastic) gradient. Such functions are prevalent in applications like reinforcement learning, online imitation learning and bilevel optimization. We exploit the composite structure in these functions and propose a \emph{target optimization} framework. Our framework leverages the smoothness of the loss with respect to an intermediate target space (e.g. the output of a neural network model), and uses gradient information to construct surrogate functions. In the full-batch setting, we prove that the surrogate function is a global upper-bound on the overall loss, and can be (locally) minimized using any black-box optimization algorithm. We prove that the resulting majorization-minimization algorithm ensures convergence to a stationary point at an O(1/T) rate, thus matching gradient descent. In the stochastic setting, we propose a stochastic surrogate optimization (SSO) algorithm that can be viewed as projected stochastic gradient descent in the target space. We leverage this connection in order to prove that SSO can match the SGD rate for strongly-convex functions. Experimentally, we evaluate the SSO algorithm on convex supervised learning losses and show competitive performance compared to SGD and its variants. ",
,,,,,,,,,,
Aristide,,Nov 23,(TMLR),Accepted,"Using Representation Expressiveness and Learnability
to Evaluate Self-Supervised Learning Methods
","Yuchen Liu, Zhen Liu,  Aristide Baratin, Romain Laroche, Aaron Courville, Alessandro Sordoni ",,https://openreview.net/forum?id=BxdrpnRHNh,"We propose a unifying view to analyze the representation quality of self-supervised learning (SSL) models without access to supervised labels, while being agnostic to the architecture, learning algorithm or data manipulation used during training. We argue that representations can be evaluated through the lens of **expressiveness** and **learnability**. We propose to use the Intrinsic Dimension (ID) to assess expressiveness and introduce Cluster Learnability (CL) to assess learnability. CL is measured as the learning speed of a KNN classifier trained to predict labels obtained by clustering the representations with K-means. We thus combine CL and ID into a single predictor -- CLID. Through a large-scale empirical study with a diverse family of SSL algorithms, we find that CLID better correlates with in-distribution model performance than other competing recent evaluation schemes. We also benchmark CLID on out-of-domain generalization, where CLID serves as a predictor of the transfer performance of SSL models on several classification tasks, yielding improvements with respect to the competing baselines.",
,,,,,,,,,,
Yash,,20 Jan,EACL 2023,Accepted,MAPL: Parameter-Efficient Adaptation of Unimodal Pre-Trained Models for Vision-Language Few-Shot Learning,"Oscar Manas, Pau Rodríguez*, Saba Ahmadi*, Aida Nematzadeh, Yash Goyal, Aishwarya Agrawal
* denotes equal contribution",https://arxiv.org/abs/2210.07179,https://aclanthology.org/2023.eacl-main.185/,"Large pre-trained models have demonstrated to be remarkable zero- and few-shot learners in unimodal vision and language tasks. In this work, we propose a simple and data-efficient method to reuse frozen pre-trained unimodal models and leverage their few-shot abilities in multimodal settings. MAPL is trained on aligned image-text data to learn a lightweight mapping network between visual features and language tokens. The resulting multimodal system can generalize to unseen vision-language tasks from just a few in-context examples. The small number of trainable parameters makes MAPL amenable to in-domain training, and its modularity facilitates the use of newer and/or better pre-trained models. Extensive experiments on diverse multimodal data show that MAPL outperforms existing methods on several VQA and image captioning tasks while training orders of magnitude fewer parameters. Importantly, MAPL can be trained in just a few hours using modest computational resources and public datasets. We will also release the code and pre-trained models.",
,,,,,,,,,,
Aristide,,,(TMLR) Dec 2022,Accepted,Lazy vs hasty: linearization in deep networks impacts learning schedule based on example difficulty,"Thomas George (Mila), Guillaume Lajoie (Mila), Aristide Baratin (SAIL)",https://openreview.net/forum?id=lukVf4VrfP&referrer=%5BTMLR%5D(%2Fgroup%3Fid%3DTMLR),,"Among attempts at giving a theoretical account of the success of deep neural networks, a recent line of work has identified a so-called `lazy' training regime in which the network can be well approximated by its linearization around initialization. Here we investigate the comparative effect of the lazy (linear) and feature learning (non-linear) regimes on subgroups of examples based on their difficulty. Specifically, we show that easier examples are given more weight in feature learning mode, resulting in faster training compared to more difficult ones. In other words, the non-linear dynamics tends to sequentialize the learning of examples of increasing difficulty. We illustrate this phenomenon across different ways to quantify example difficulty, including c-score, label noise, and in the presence of easy-to-learn spurious correlations. Our results reveal a new understanding of how deep networks prioritize resources across example difficulty.",
,,,,,,,,,,
